mode,variant,cycles,instructions
2_100000000_65536_32,sota,2628562016,6241411263
2_100000000_65536_32,base,2540814829,6466527941
2_100000000_65536_32,pron,2424905084,6165751312
2_100000000_65536_32,sota,2652136360,6241603066
2_100000000_65536_32,base,2519214018,6466465856
2_100000000_65536_32,pron,2432245879,6166231358
2_100000000_65536_32,sota,2628040504,6241089081
2_100000000_65536_32,base,2520294311,6466246402
2_100000000_65536_32,pron,2428761023,6166089042
2_100000000_65536_32,sota,2651159226,6241267751
2_100000000_65536_32,base,2513950433,6466273808
2_100000000_65536_32,pron,2428631626,6166104301
2_100000000_65536_32,sota,2626834258,6241235982
2_100000000_65536_32,base,2526702770,6466513365
2_100000000_65536_32,pron,2433473751,6166329033
2_100000000_65536_32,sota,2627954212,6241407553
2_100000000_65536_32,base,2567196133,6466749346
2_100000000_65536_32,pron,2426836193,6166281163
2_100000000_65536_32,sota,2645106250,6241226104
2_100000000_65536_32,base,2520775585,6466459334
2_100000000_65536_32,pron,2440182868,6166279264
2_100000000_65536_32,sota,2668944783,6240641174
2_100000000_65536_32,base,2520851942,6465985395
2_100000000_65536_32,pron,2433306915,6166179945
2_100000000_65536_32,sota,2622231828,6241305857
2_100000000_65536_32,base,2526555615,6466558289
2_100000000_65536_32,pron,2468474095,6166487437
2_100000000_65536_32,sota,2627167350,6241408407
2_100000000_65536_32,base,2533503279,6466675510
2_100000000_65536_32,pron,2447315470,6165319590
2_100000000_65536_32,sota,2638146540,6241252760
2_100000000_65536_32,base,2569908709,6466529346
2_100000000_65536_32,pron,2488692076,6166490876
2_100000000_65536_32,sota,2672540103,6241372693
2_100000000_65536_32,base,2511804262,6466426884
2_100000000_65536_32,pron,2434031572,6166076642
2_100000000_65536_32,sota,2652749887,6241218609
2_100000000_65536_32,base,2516272431,6466182740
2_100000000_65536_32,pron,2434714844,6166219244
2_100000000_65536_32,sota,2622552603,6241264667
2_100000000_65536_32,base,2521833711,6466422268
2_100000000_65536_32,pron,2435385101,6166210246
2_100000000_65536_32,sota,2649725873,6241291916
2_100000000_65536_32,base,2539482048,6466679418
2_100000000_65536_32,pron,2463118294,6166352616
2_100000000_65536_32,sota,2636572310,6241391621
2_100000000_65536_32,base,2520802912,6466494950
2_100000000_65536_32,pron,2430345614,6166169183
2_100000000_65536_32,sota,2622034496,6240146125
2_100000000_65536_32,base,2609218828,6466545052
2_100000000_65536_32,pron,2451434752,6166310983
2_100000000_65536_32,sota,2674854026,6241473956
2_100000000_65536_32,base,2519126721,6466560547
2_100000000_65536_32,pron,2431611217,6166153734
2_100000000_65536_32,sota,2625358636,6241133903
2_100000000_65536_32,base,2524090894,6466578636
2_100000000_65536_32,pron,2457462629,6165697478
2_100000000_65536_32,sota,2633097634,6241332099
